(.venv) └  ~/workspace/python_workspace/network_slicing_vnf_placement/dql_vnf_placement  M › U › 𝗈𝗇 › barabasi_network
 › python main.py
Episode  1800 | Slices:  38 | Avg Reward:   25390.73 | Avg Energy:   9153.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1850 | Slices:  38 | Avg Reward:   25393.28 | Avg Energy:   9140.94 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1900 | Slices:  38 | Avg Reward:   25428.98 | Avg Energy:   9038.92 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1950 | Slices:  38 | Avg Reward:   25427.09 | Avg Energy:   9039.51 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2000 | Slices:  39 | Avg Reward:   25437.24 | Avg Energy:   9119.12 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2050 | Slices:  39 | Avg Reward:   26114.35 | Avg Energy:   9151.57 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2100 | Slices:  39 | Avg Reward:   26124.79 | Avg Energy:   9123.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2150 | Slices:  39 | Avg Reward:   26133.07 | Avg Energy:   9099.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2200 | Slices:  39 | Avg Reward:   26118.26 | Avg Energy:   9124.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2250 | Slices:  39 | Avg Reward:   26137.53 | Avg Energy:   9076.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2300 | Slices:  39 | Avg Reward:   26136.82 | Avg Energy:   9123.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2350 | Slices:  39 | Avg Reward:   26091.49 | Avg Energy:   9180.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2400 | Slices:  39 | Avg Reward:   26152.30 | Avg Energy:   9037.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2450 | Slices:  40 | Avg Reward:   26252.75 | Avg Energy:   9219.70 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2500 | Slices:  40 | Avg Reward:   26816.44 | Avg Energy:   9181.79 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2550 | Slices:  40 | Avg Reward:   26820.02 | Avg Energy:   9218.39 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2600 | Slices:  40 | Avg Reward:   26787.99 | Avg Energy:   9318.17 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2650 | Slices:  40 | Avg Reward:   26805.73 | Avg Energy:   9232.63 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2700 | Slices:  40 | Avg Reward:   26810.12 | Avg Energy:   9203.79 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2750 | Slices:  40 | Avg Reward:   26799.23 | Avg Energy:   9231.29 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2800 | Slices:  40 | Avg Reward:   26810.19 | Avg Energy:   9208.18 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2850 | Slices:  40 | Avg Reward:   26827.07 | Avg Energy:   9160.25 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2900 | Slices:  40 | Avg Reward:   26803.45 | Avg Energy:   9215.12 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2950 | Slices:  40 | Avg Reward:   26845.93 | Avg Energy:   9114.54 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3000 | Slices:  41 | Avg Reward:   27094.27 | Avg Energy:   9292.32 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3050 | Slices:  41 | Avg Reward:   27535.01 | Avg Energy:   9216.48 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3100 | Slices:  41 | Avg Reward:   27491.50 | Avg Energy:   9276.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3150 | Slices:  41 | Avg Reward:   27515.83 | Avg Energy:   9286.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3200 | Slices:  41 | Avg Reward:   27511.95 | Avg Energy:   9274.34 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3250 | Slices:  41 | Avg Reward:   27564.16 | Avg Energy:   9145.49 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3300 | Slices:  41 | Avg Reward:   27517.06 | Avg Energy:   9323.16 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3350 | Slices:  41 | Avg Reward:   27509.62 | Avg Energy:   9262.68 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3400 | Slices:  41 | Avg Reward:   27494.53 | Avg Energy:   9330.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3450 | Slices:  41 | Avg Reward:   27536.31 | Avg Energy:   9237.86 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3500 | Slices:  41 | Avg Reward:   27508.46 | Avg Energy:   9342.90 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3550 | Slices:  41 | Avg Reward:   27545.16 | Avg Energy:   9193.53 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3600 | Slices:  41 | Avg Reward:   27497.64 | Avg Energy:   9360.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3650 | Slices:  42 | Avg Reward:   27654.27 | Avg Energy:   9322.53 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3700 | Slices:  42 | Avg Reward:   28179.38 | Avg Energy:   9441.80 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3750 | Slices:  42 | Avg Reward:   28215.50 | Avg Energy:   9347.84 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3800 | Slices:  42 | Avg Reward:   28183.96 | Avg Energy:   9413.76 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3850 | Slices:  42 | Avg Reward:   28201.22 | Avg Energy:   9325.22 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3900 | Slices:  42 | Avg Reward:   28163.64 | Avg Energy:   9545.08 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3950 | Slices:  42 | Avg Reward:   28217.71 | Avg Energy:   9339.24 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4000 | Slices:  42 | Avg Reward:   28183.83 | Avg Energy:   9420.24 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4050 | Slices:  42 | Avg Reward:   28192.43 | Avg Energy:   9377.80 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4100 | Slices:  42 | Avg Reward:   28259.50 | Avg Energy:   9237.86 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4150 | Slices:  42 | Avg Reward:   28206.82 | Avg Energy:   9361.77 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4200 | Slices:  42 | Avg Reward:   28178.46 | Avg Energy:   9481.32 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4250 | Slices:  42 | Avg Reward:   28179.24 | Avg Energy:   9442.38 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4300 | Slices:  42 | Avg Reward:   28224.15 | Avg Energy:   9289.85 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4350 | Slices:  42 | Avg Reward:   28200.31 | Avg Energy:   9418.19 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4400 | Slices:  42 | Avg Reward:   28196.57 | Avg Energy:   9397.03 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4450 | Slices:  43 | Avg Reward:   28279.33 | Avg Energy:   9341.79 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4500 | Slices:  43 | Avg Reward:   28913.83 | Avg Energy:   9384.08 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4550 | Slices:  43 | Avg Reward:   28915.62 | Avg Energy:   9382.73 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4600 | Slices:  43 | Avg Reward:   28901.23 | Avg Energy:   9403.28 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4650 | Slices:  43 | Avg Reward:   28910.82 | Avg Energy:   9440.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4700 | Slices:  43 | Avg Reward:   28922.09 | Avg Energy:   9361.56 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4750 | Slices:  43 | Avg Reward:   28890.61 | Avg Energy:   9422.77 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4800 | Slices:  43 | Avg Reward:   28916.44 | Avg Energy:   9454.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4850 | Slices:  43 | Avg Reward:   28893.74 | Avg Energy:   9491.44 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4900 | Slices:  43 | Avg Reward:   28930.12 | Avg Energy:   9361.18 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4950 | Slices:  43 | Avg Reward:   28873.26 | Avg Energy:   9499.69 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Training completed. Model saved to updated_dqn_agent.pth
