(.venv) └  ~/workspace/python_workspace/network_slicing_vnf_placement/dql_vnf_placement  M › U › 𝗈𝗇 › barabasi_network
 › python main.py
Episode 2000 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2050 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2100 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2150 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2200 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2250 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2300 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2350 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2400 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2450 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2500 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2550 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2600 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2650 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2700 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2750 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2800 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2850 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2900 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 2950 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 4 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3000 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3050 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3100 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3150 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3200 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3250 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3300 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3350 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3400 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3450 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3500 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3550 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3600 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3650 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
