python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth v_1_retrain_log_10k.pth
Episode  1800 | Slices: 200 | Avg Reward:  135701.97 | Avg Energy:  32517.18 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1850 | Slices: 200 | Avg Reward:  135745.54 | Avg Energy:  32348.31 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1900 | Slices: 200 | Avg Reward:  135692.36 | Avg Energy:  32514.46 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  1950 | Slices: 200 | Avg Reward:  135707.07 | Avg Energy:  32472.73 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2000 | Slices: 200 | Avg Reward:  135633.79 | Avg Energy:  32722.33 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2050 | Slices: 200 | Avg Reward:  135694.31 | Avg Energy:  32771.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2100 | Slices: 200 | Avg Reward:  135542.56 | Avg Energy:  32980.82 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2150 | Slices: 200 | Avg Reward:  135693.84 | Avg Energy:  32621.18 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2200 | Slices: 200 | Avg Reward:  135695.55 | Avg Energy:  32577.35 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2250 | Slices: 200 | Avg Reward:  135643.27 | Avg Energy:  32788.75 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2300 | Slices: 200 | Avg Reward:  135754.90 | Avg Energy:  32481.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2350 | Slices: 200 | Avg Reward:  135673.80 | Avg Energy:  32728.99 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2400 | Slices: 200 | Avg Reward:  135643.06 | Avg Energy:  32776.98 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2450 | Slices: 200 | Avg Reward:  135735.64 | Avg Energy:  32508.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2500 | Slices: 200 | Avg Reward:  135648.09 | Avg Energy:  32523.84 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2550 | Slices: 200 | Avg Reward:  135609.56 | Avg Energy:  32673.61 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2600 | Slices: 200 | Avg Reward:  135637.17 | Avg Energy:  32677.76 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2650 | Slices: 200 | Avg Reward:  135694.77 | Avg Energy:  32565.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2700 | Slices: 200 | Avg Reward:  135741.17 | Avg Energy:  32335.55 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2750 | Slices: 200 | Avg Reward:  135670.76 | Avg Energy:  32539.57 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2800 | Slices: 200 | Avg Reward:  135664.91 | Avg Energy:  32590.37 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2850 | Slices: 200 | Avg Reward:  135663.91 | Avg Energy:  32617.61 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2900 | Slices: 200 | Avg Reward:  135622.08 | Avg Energy:  32922.04 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  2950 | Slices: 200 | Avg Reward:  135561.59 | Avg Energy:  33001.83 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3000 | Slices: 200 | Avg Reward:  135693.84 | Avg Energy:  32567.66 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3050 | Slices: 200 | Avg Reward:  135656.84 | Avg Energy:  32481.45 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3100 | Slices: 200 | Avg Reward:  135726.27 | Avg Energy:  32419.43 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3150 | Slices: 200 | Avg Reward:  135621.04 | Avg Energy:  32637.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3200 | Slices: 200 | Avg Reward:  135633.64 | Avg Energy:  32770.27 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3250 | Slices: 200 | Avg Reward:  135598.08 | Avg Energy:  32917.31 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3300 | Slices: 200 | Avg Reward:  135764.83 | Avg Energy:  32178.18 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3350 | Slices: 200 | Avg Reward:  135638.54 | Avg Energy:  32369.58 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3400 | Slices: 200 | Avg Reward:  135628.90 | Avg Energy:  32786.47 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
